;50005305;50007476;50005964;50008374;
50026103;58.78;58.78;58.78;49.96;
50026104;28.82;28.82;28.82;24.5;
50026105;15.8;15.8;15.8;13.43;
50026107;88.41;88.41;88.41;75.15;
50026108;42.28;42.28;42.28;35.94;
50026110;31.96;31.96;31.96;27.17;
50026151;2.37;2.37;2.37;2.01;
50033257;58.44;58.44;58.44;49.67;
50033258;87.64;87.64;87.64;74.49;
50033259;119.51;119.51;119.51;101.58;
50033262;27.87;27.87;27.87;23.69;
50033263;36.52;36.52;36.52;31.04;
50033264;40.36;40.36;40.36;34.31;
50033265;6.43;6.43;6.43;5.47;
50033266;7.78;7.78;7.78;6.61;
50033267;9.22;9.22;9.22;7.84;
50033268;16.81;16.81;16.81;14.29;
